id_respon,timestamp,layanan,komentar_teks,id_pengisian,urut_komentar,label_manual,teks_casefold,tokens,tokens_nostop,tokens_stem,teks_bersih,prediksi,prob_max
005-03,08/01/2026 22:36:10,WiFi Kampus,"wifi di fikti terkadang lola, pliss adain kayak dulu lagi aja, di mana tiap lantai jaringannya bedaaa, tidak seperti sekarang uda mencakup semua",5,3,,wifi di fikti terkadang lola pliss adain kayak dulu lagi aja di mana tiap lantai jaringannya bedaaa tidak seperti sekarang uda mencakup semua,"['wifi', 'di', 'fikti', 'terkadang', 'lola', 'pliss', 'adain', 'kayak', 'dulu', 'lagi', 'aja', 'di', 'mana', 'tiap', 'lantai', 'jaringannya', 'bedaaa', 'tidak', 'seperti', 'sekarang', 'uda', 'mencakup', 'semua']","['wifi', 'fikti', 'terkadang', 'lola', 'pliss', 'adain', 'kayak', 'dulu', 'aja', 'mana', 'lantai', 'jaringannya', 'bedaaa', 'tidak', 'sekarang', 'uda', 'mencakup', 'semua']","['wifi', 'fikti', 'terkadang', 'lola', 'pliss', 'adain', 'kayak', 'dulu', 'aja', 'mana', 'lantai', 'jaringannya', 'bedaaa', 'tidak', 'sekarang', 'uda', 'mencakup', 'semua']",wifi fikti terkadang lola pliss adain kayak dulu aja mana lantai jaringannya bedaaa tidak sekarang uda mencakup semua,nan,0.9869311733125672
005-05,08/01/2026 22:36:10,Saran Peningkatan,semoga kedepannya bisa lebih baik hehe,5,5,,semoga kedepannya bisa lebih baik hehe,"['semoga', 'kedepannya', 'bisa', 'lebih', 'baik', 'hehe']","['semoga', 'kedepannya', 'baik', 'hehe']","['semoga', 'kedepannya', 'baik', 'hehe']",semoga kedepannya baik hehe,nan,0.9955494363186149
006-01,08/01/2026 22:36:40,Portal Akademik (WEB),"Khusus portal web, sering log out sendiri.",6,1,,khusus portal web sering log out sendiri,"['khusus', 'portal', 'web', 'sering', 'log', 'out', 'sendiri']","['khusus', 'portal', 'web', 'sering', 'log', 'out', 'sendiri']","['khusus', 'portal', 'web', 'sering', 'log', 'out', 'sendiri']",khusus portal web sering log out sendiri,nan,0.9963670067583777
006-02,08/01/2026 22:36:40,MyClass UMSU,"Khusus MyClass, lumayan lah dibandingkan UMSU Mobile dulu. Sekarang mah sudah mudah diakses, seneng banget deh rasanya punya e learning kampus sendiri. Kampus lain emang punya? Cih masih pakai GClassroom😂.",6,2,,khusus myclass lumayan lah dibandingkan umsu mobile dulu sekarang mah sudah mudah diakses seneng banget deh rasanya punya e learning kampus sendiri kampus lain emang punya cih masih pakai gclassroom,"['khusus', 'myclass', 'lumayan', 'lah', 'dibandingkan', 'umsu', 'mobile', 'dulu', 'sekarang', 'mah', 'sudah', 'mudah', 'diakses', 'seneng', 'banget', 'deh', 'rasanya', 'punya', 'learning', 'kampus', 'sendiri', 'kampus', 'lain', 'emang', 'punya', 'cih', 'masih', 'pakai', 'gclassroom']","['khusus', 'myclass', 'lumayan', 'dibandingkan', 'umsu', 'mobile', 'dulu', 'sekarang', 'mah', 'mudah', 'diakses', 'seneng', 'banget', 'deh', 'rasanya', 'punya', 'learning', 'kampus', 'sendiri', 'kampus', 'lain', 'emang', 'punya', 'cih', 'masih', 'pakai', 'gclassroom']","['khusus', 'myclass', 'lumayan', 'dibandingkan', 'umsu', 'mobile', 'dulu', 'sekarang', 'mah', 'mudah', 'diakses', 'seneng', 'banget', 'deh', 'rasanya', 'punya', 'learning', 'kampus', 'sendiri', 'kampus', 'lain', 'emang', 'punya', 'cih', 'masih', 'pakai', 'gclassroom']",khusus myclass lumayan dibandingkan umsu mobile dulu sekarang mah mudah diakses seneng banget deh rasanya punya learning kampus sendiri kampus lain emang punya cih masih pakai gclassroom,nan,0.9910446109252863
006-03,08/01/2026 22:36:40,WiFi Kampus,"WiFi UMSU itu ibarat tauco dalam nasi gurih, dia ada, tapi tidak akan pernah saya sentuh. Untuk apa juga? 1 WiFi yang pakai seribu orang.",6,3,,wifi umsu itu ibarat tauco dalam nasi gurih dia ada tapi tidak akan pernah saya sentuh untuk apa juga wifi yang pakai seribu orang,"['wifi', 'umsu', 'itu', 'ibarat', 'tauco', 'dalam', 'nasi', 'gurih', 'dia', 'ada', 'tapi', 'tidak', 'akan', 'pernah', 'saya', 'sentuh', 'untuk', 'apa', 'juga', 'wifi', 'yang', 'pakai', 'seribu', 'orang']","['wifi', 'umsu', 'ibarat', 'tauco', 'nasi', 'gurih', 'ada', 'tidak', 'pernah', 'sentuh', 'apa', 'wifi', 'pakai', 'seribu', 'orang']","['wifi', 'umsu', 'ibarat', 'tauco', 'nasi', 'gurih', 'ada', 'tidak', 'pernah', 'sentuh', 'apa', 'wifi', 'pakai', 'seribu', 'orang']",wifi umsu ibarat tauco nasi gurih ada tidak pernah sentuh apa wifi pakai seribu orang,nan,0.9990204525745976
006-04,08/01/2026 22:36:40,Helpdesk/Technical Support,"Baik lah pokoknya, soalnya saya datengin langsung.",6,4,,baik lah pokoknya soalnya saya datengin langsung,"['baik', 'lah', 'pokoknya', 'soalnya', 'saya', 'datengin', 'langsung']","['baik', 'pokoknya', 'soalnya', 'datengin', 'langsung']","['baik', 'pokoknya', 'soalnya', 'datengin', 'langsung']",baik pokoknya soalnya datengin langsung,nan,0.9919186828800901
006-05,08/01/2026 22:36:40,Saran Peningkatan,"Saran saya yah, terus berkembang deh.",6,5,,saran saya yah terus berkembang deh,"['saran', 'saya', 'yah', 'terus', 'berkembang', 'deh']","['saran', 'yah', 'terus', 'berkembang', 'deh']","['saran', 'yah', 'terus', 'berkembang', 'deh']",saran yah terus berkembang deh,nan,0.9878632583563551
007-01,08/01/2026 22:38:59,Portal Akademik (WEB),sering log out dengan sendirinya,7,1,,sering log out dengan sendirinya,"['sering', 'log', 'out', 'dengan', 'sendirinya']","['sering', 'log', 'out', 'sendirinya']","['sering', 'log', 'out', 'sendirinya']",sering log out sendirinya,nan,0.9925771492017121
007-02,08/01/2026 22:38:59,MyClass UMSU,tidak ada,7,2,,tidak ada,"['tidak', 'ada']","['tidak', 'ada']","['tidak', 'ada']",tidak ada,nan,0.99932235490289
007-03,08/01/2026 22:38:59,WiFi Kampus,sering ganti password,7,3,,sering ganti password,"['sering', 'ganti', 'password']","['sering', 'ganti', 'password']","['sering', 'ganti', 'password']",sering ganti password,nan,0.9920392672884757
007-04,08/01/2026 22:38:59,Helpdesk/Technical Support,tidak ada,7,4,,tidak ada,"['tidak', 'ada']","['tidak', 'ada']","['tidak', 'ada']",tidak ada,nan,0.99932235490289
007-05,08/01/2026 22:38:59,Saran Peningkatan,tidak ada,7,5,,tidak ada,"['tidak', 'ada']","['tidak', 'ada']","['tidak', 'ada']",tidak ada,nan,0.99932235490289
008-01,08/01/2026 22:39:57,Portal Akademik (WEB),"untuk kebutuhan sebenarnya portal akademik (web) umsu tu sudah mencukupi dan lumayan mudahlah untuk dipahami. tetapii, web tersebut sering kali back ke halaman dashboard yang biasanya muncul sebelum login. mungkin itu si salah satu kekurangan dari portal tersebut",8,1,,untuk kebutuhan sebenarnya portal akademik web umsu tu sudah mencukupi dan lumayan mudahlah untuk dipahami tetapii web tersebut sering kali back ke halaman dashboard yang biasanya muncul sebelum login mungkin itu si salah satu kekurangan dari portal tersebut,"['untuk', 'kebutuhan', 'sebenarnya', 'portal', 'akademik', 'web', 'umsu', 'tu', 'sudah', 'mencukupi', 'dan', 'lumayan', 'mudahlah', 'untuk', 'dipahami', 'tetapii', 'web', 'tersebut', 'sering', 'kali', 'back', 'ke', 'halaman', 'dashboard', 'yang', 'biasanya', 'muncul', 'sebelum', 'login', 'mungkin', 'itu', 'si', 'salah', 'satu', 'kekurangan', 'dari', 'portal', 'tersebut']","['kebutuhan', 'sebenarnya', 'portal', 'akademik', 'web', 'umsu', 'tu', 'mencukupi', 'lumayan', 'mudahlah', 'dipahami', 'tetapii', 'web', 'tersebut', 'sering', 'kali', 'back', 'halaman', 'dashboard', 'biasanya', 'muncul', 'sebelum', 'login', 'mungkin', 'si', 'salah', 'satu', 'kekurangan', 'portal', 'tersebut']","['kebutuhan', 'sebenarnya', 'portal', 'akademik', 'web', 'umsu', 'tu', 'mencukupi', 'lumayan', 'mudahlah', 'dipahami', 'tetapii', 'web', 'tersebut', 'sering', 'kali', 'back', 'halaman', 'dashboard', 'biasanya', 'muncul', 'sebelum', 'login', 'mungkin', 'si', 'salah', 'satu', 'kekurangan', 'portal', 'tersebut']",kebutuhan sebenarnya portal akademik web umsu tu mencukupi lumayan mudahlah dipahami tetapii web tersebut sering kali back halaman dashboard biasanya muncul sebelum login mungkin si salah satu kekurangan portal tersebut,nan,0.9948965154388208
008-02,08/01/2026 22:39:57,MyClass UMSU,"secara keseluruhan sih MyClass itu sudah cukup baik, tetapi alangkah lebih baikk jika dilakukan pengembangan sistem lagi. karena, untuk user MyClass yang pakai android tu kurang responsif. setiap kali kita ingin kembali ke halaman sebelumnya, yang malah muncul adalah halaman dashboard yang isinya menu utama, berita umsu. jadii, itu lumayan membuat user sedikit kesal karena jika ingin kembali ke halaman sebelumnya harus mulai dari awal LGIII",8,2,,secara keseluruhan sih myclass itu sudah cukup baik tetapi alangkah lebih baikk jika dilakukan pengembangan sistem lagi karena untuk user myclass yang pakai android tu kurang responsif setiap kali kita ingin kembali ke halaman sebelumnya yang malah muncul adalah halaman dashboard yang isinya menu utama berita umsu jadii itu lumayan membuat user sedikit kesal karena jika ingin kembali ke halaman sebelumnya harus mulai dari awal lgiii,"['secara', 'keseluruhan', 'sih', 'myclass', 'itu', 'sudah', 'cukup', 'baik', 'tetapi', 'alangkah', 'lebih', 'baikk', 'jika', 'dilakukan', 'pengembangan', 'sistem', 'lagi', 'karena', 'untuk', 'user', 'myclass', 'yang', 'pakai', 'android', 'tu', 'kurang', 'responsif', 'setiap', 'kali', 'kita', 'ingin', 'kembali', 'ke', 'halaman', 'sebelumnya', 'yang', 'malah', 'muncul', 'adalah', 'halaman', 'dashboard', 'yang', 'isinya', 'menu', 'utama', 'berita', 'umsu', 'jadii', 'itu', 'lumayan', 'membuat', 'user', 'sedikit', 'kesal', 'karena', 'jika', 'ingin', 'kembali', 'ke', 'halaman', 'sebelumnya', 'harus', 'mulai', 'dari', 'awal', 'lgiii']","['secara', 'keseluruhan', 'sih', 'myclass', 'cukup', 'baik', 'alangkah', 'baikk', 'dilakukan', 'pengembangan', 'sistem', 'user', 'myclass', 'pakai', 'android', 'tu', 'kurang', 'responsif', 'kali', 'ingin', 'kembali', 'halaman', 'sebelumnya', 'malah', 'muncul', 'halaman', 'dashboard', 'isinya', 'menu', 'utama', 'berita', 'umsu', 'jadii', 'lumayan', 'membuat', 'user', 'kesal', 'ingin', 'kembali', 'halaman', 'sebelumnya', 'mulai', 'awal', 'lgiii']","['secara', 'keseluruhan', 'sih', 'myclass', 'cukup', 'baik', 'alangkah', 'baikk', 'dilakukan', 'pengembangan', 'sistem', 'user', 'myclass', 'pakai', 'android', 'tu', 'kurang', 'responsif', 'kali', 'ingin', 'kembali', 'halaman', 'sebelumnya', 'malah', 'muncul', 'halaman', 'dashboard', 'isinya', 'menu', 'utama', 'berita', 'umsu', 'jadii', 'lumayan', 'membuat', 'user', 'kesal', 'ingin', 'kembali', 'halaman', 'sebelumnya', 'mulai', 'awal', 'lgiii']",secara keseluruhan sih myclass cukup baik alangkah baikk dilakukan pengembangan sistem user myclass pakai android tu kurang responsif kali ingin kembali halaman sebelumnya malah muncul halaman dashboard isinya menu utama berita umsu jadii lumayan membuat user kesal ingin kembali halaman sebelumnya mulai awal lgiii,nan,0.9810070243577244
008-03,08/01/2026 22:39:57,WiFi Kampus,"saya lumayan puas dengan fasilitas WiFi yang di fikti dan hal ini sudah cukup memenuhi kebutuhan mahasiswa. tetapi, untuk di fakultas lain fasilitas wifi masih di batasi bahkaan emang betu-betul wifi itu tidak sampai lantai atas.",8,3,,saya lumayan puas dengan fasilitas wifi yang di fikti dan hal ini sudah cukup memenuhi kebutuhan mahasiswa tetapi untuk di fakultas lain fasilitas wifi masih di batasi bahkaan emang betu betul wifi itu tidak sampai lantai atas,"['saya', 'lumayan', 'puas', 'dengan', 'fasilitas', 'wifi', 'yang', 'di', 'fikti', 'dan', 'hal', 'ini', 'sudah', 'cukup', 'memenuhi', 'kebutuhan', 'mahasiswa', 'tetapi', 'untuk', 'di', 'fakultas', 'lain', 'fasilitas', 'wifi', 'masih', 'di', 'batasi', 'bahkaan', 'emang', 'betu', 'betul', 'wifi', 'itu', 'tidak', 'sampai', 'lantai', 'atas']","['lumayan', 'puas', 'fasilitas', 'wifi', 'fikti', 'hal', 'cukup', 'memenuhi', 'kebutuhan', 'mahasiswa', 'fakultas', 'lain', 'fasilitas', 'wifi', 'masih', 'batasi', 'bahkaan', 'emang', 'betu', 'betul', 'wifi', 'tidak', 'sampai', 'lantai']","['lumayan', 'puas', 'fasilitas', 'wifi', 'fikti', 'hal', 'cukup', 'memenuhi', 'kebutuhan', 'mahasiswa', 'fakultas', 'lain', 'fasilitas', 'wifi', 'masih', 'batasi', 'bahkaan', 'emang', 'betu', 'betul', 'wifi', 'tidak', 'sampai', 'lantai']",lumayan puas fasilitas wifi fikti hal cukup memenuhi kebutuhan mahasiswa fakultas lain fasilitas wifi masih batasi bahkaan emang betu betul wifi tidak sampai lantai,nan,0.9876842292047128
008-04,08/01/2026 22:39:57,Helpdesk/Technical Support,"saya sudah lama tida menggunakan helpdesk IT UMSU. tetapi dulu pernah, dikarenakan akun e-learning saya tidak bisa login, daan mereka langsung membantu 🫰🫰🫰",8,4,,saya sudah lama tida menggunakan helpdesk it umsu tetapi dulu pernah dikarenakan akun e learning saya tidak bisa login daan mereka langsung membantu,"['saya', 'sudah', 'lama', 'tida', 'menggunakan', 'helpdesk', 'it', 'umsu', 'tetapi', 'dulu', 'pernah', 'dikarenakan', 'akun', 'learning', 'saya', 'tidak', 'bisa', 'login', 'daan', 'mereka', 'langsung', 'membantu']","['lama', 'tida', 'menggunakan', 'helpdesk', 'it', 'umsu', 'dulu', 'pernah', 'dikarenakan', 'akun', 'learning', 'tidak', 'login', 'daan', 'langsung', 'membantu']","['lama', 'tida', 'menggunakan', 'helpdesk', 'it', 'umsu', 'dulu', 'pernah', 'dikarenakan', 'akun', 'learning', 'tidak', 'login', 'daan', 'langsung', 'membantu']",lama tida menggunakan helpdesk it umsu dulu pernah dikarenakan akun learning tidak login daan langsung membantu,nan,0.9981124769630683
008-05,08/01/2026 22:39:57,Saran Peningkatan,none~,8,5,,none,['none'],['none'],['none'],none,nan,0.9893162393162394
009-01,08/01/2026 22:44:23,Portal Akademik (WEB),"Ketika sudah login ke web portal umsu suka tbtb log out sendiri, juga sering nya mengalami server down sehingga website tidak bisa di buka dan belum bisa download riwayat transaksi sebelumnya melalui aplikasi umsu mobile. Tapi sejauh ini portal umsu menyajikan informasi yang sangat penting dan mudah di akses, desain website juga user friendly.",9,1,,ketika sudah login ke web portal umsu suka tbtb log out sendiri juga sering nya mengalami server down sehingga website tidak bisa di buka dan belum bisa download riwayat transaksi sebelumnya melalui aplikasi umsu mobile tapi sejauh ini portal umsu menyajikan informasi yang sangat penting dan mudah di akses desain website juga user friendly,"['ketika', 'sudah', 'login', 'ke', 'web', 'portal', 'umsu', 'suka', 'tbtb', 'log', 'out', 'sendiri', 'juga', 'sering', 'nya', 'mengalami', 'server', 'down', 'sehingga', 'website', 'tidak', 'bisa', 'di', 'buka', 'dan', 'belum', 'bisa', 'download', 'riwayat', 'transaksi', 'sebelumnya', 'melalui', 'aplikasi', 'umsu', 'mobile', 'tapi', 'sejauh', 'ini', 'portal', 'umsu', 'menyajikan', 'informasi', 'yang', 'sangat', 'penting', 'dan', 'mudah', 'di', 'akses', 'desain', 'website', 'juga', 'user', 'friendly']","['ketika', 'login', 'web', 'portal', 'umsu', 'suka', 'tbtb', 'log', 'out', 'sendiri', 'sering', 'mengalami', 'server', 'down', 'sehingga', 'website', 'tidak', 'buka', 'belum', 'download', 'riwayat', 'transaksi', 'sebelumnya', 'melalui', 'aplikasi', 'umsu', 'mobile', 'sejauh', 'portal', 'umsu', 'menyajikan', 'informasi', 'penting', 'mudah', 'akses', 'desain', 'website', 'user', 'friendly']","['ketika', 'login', 'web', 'portal', 'umsu', 'suka', 'tbtb', 'log', 'out', 'sendiri', 'sering', 'mengalami', 'server', 'down', 'sehingga', 'website', 'tidak', 'buka', 'belum', 'download', 'riwayat', 'transaksi', 'sebelumnya', 'melalui', 'aplikasi', 'umsu', 'mobile', 'sejauh', 'portal', 'umsu', 'menyajikan', 'informasi', 'penting', 'mudah', 'akses', 'desain', 'website', 'user', 'friendly']",ketika login web portal umsu suka tbtb log out sendiri sering mengalami server down sehingga website tidak buka belum download riwayat transaksi sebelumnya melalui aplikasi umsu mobile sejauh portal umsu menyajikan informasi penting mudah akses desain website user friendly,nan,0.9985283034802684
009-02,08/01/2026 22:44:23,MyClass UMSU,"Untuk mengakses my class lewat apk umsu mobile ketika ingin kembali untuk berpindah menu, seringnya kembali ke apk umsu mobile bukan tetap di menu my class. Tetapi Sejauh ini pengguna my class sangat memudahkan ketika ingin mengakses absen dan materi perkuliahan.",9,2,,untuk mengakses my class lewat apk umsu mobile ketika ingin kembali untuk berpindah menu seringnya kembali ke apk umsu mobile bukan tetap di menu my class tetapi sejauh ini pengguna my class sangat memudahkan ketika ingin mengakses absen dan materi perkuliahan,"['untuk', 'mengakses', 'my', 'class', 'lewat', 'apk', 'umsu', 'mobile', 'ketika', 'ingin', 'kembali', 'untuk', 'berpindah', 'menu', 'seringnya', 'kembali', 'ke', 'apk', 'umsu', 'mobile', 'bukan', 'tetap', 'di', 'menu', 'my', 'class', 'tetapi', 'sejauh', 'ini', 'pengguna', 'my', 'class', 'sangat', 'memudahkan', 'ketika', 'ingin', 'mengakses', 'absen', 'dan', 'materi', 'perkuliahan']","['mengakses', 'my', 'class', 'lewat', 'apk', 'umsu', 'mobile', 'ketika', 'ingin', 'kembali', 'berpindah', 'menu', 'seringnya', 'kembali', 'apk', 'umsu', 'mobile', 'bukan', 'tetap', 'menu', 'my', 'class', 'sejauh', 'pengguna', 'my', 'class', 'memudahkan', 'ketika', 'ingin', 'mengakses', 'absen', 'materi', 'perkuliahan']","['mengakses', 'my', 'class', 'lewat', 'apk', 'umsu', 'mobile', 'ketika', 'ingin', 'kembali', 'berpindah', 'menu', 'seringnya', 'kembali', 'apk', 'umsu', 'mobile', 'bukan', 'tetap', 'menu', 'my', 'class', 'sejauh', 'pengguna', 'my', 'class', 'memudahkan', 'ketika', 'ingin', 'mengakses', 'absen', 'materi', 'perkuliahan']",mengakses my class lewat apk umsu mobile ketika ingin kembali berpindah menu seringnya kembali apk umsu mobile bukan tetap menu my class sejauh pengguna my class memudahkan ketika ingin mengakses absen materi perkuliahan,nan,0.9952675299882014
